"K27me3_rep1","K4me3_rep1","K27me3_rep2","K4me3_rep2"
0,0,233,186
0,2,166,89
0,0,219,169
1,3,0,1
2,1,0,0
2,1,0,0
4,2,0,1
2,0,0,0
7,2,0,0
3,5,0,0
8,6,0,0
2,1,0,0
2,2,0,0
2,1,0,0
5,2,0,1
3,0,0,0
3,0,0,0
213,128,356,606
7,4,0,0
4,1,0,1
5,5,0,0
2,0,0,0
2,0,0,0
0,3,169,165
1,4,0,0
8,1,0,0
4,4,0,1
3,7,0,2
2,2,0,1
2,0,194,214
3,0,0,1
2,2,0,0
3,0,0,0
3,1,0,0
4,0,0,0
40,29,2,0
15,15,0,0
3,0,0,0
4,0,1,0
2,8,1,0
3,0,0,1
17,11,0,1
24,13,0,0
6,4,0,0
4,10,1,0
21,10,0,0
45,28,0,0
2,1,0,0
51,29,3,1
6,6,0,1
5,1,2,0
5,0,1,2
131,61,4,4
14,6,1,3
10,10,0,1
0,3,1,0
1,3,257,180
5,1,0,1
4,7,0,2
142,80,2,4
4,2,0,1
2,2,0,0
4,3,0,1
11,2,0,0
4,3,0,0
0,3,0,1
1,1,63,67
2,0,0,0
1,1,97,87
2,0,58,60
38,21,2,2
6,2,2,0
6,4,0,0
30,23,0,0
2,2,0,1
2,5,0,1
13,15,0,0
310,115,1,3
108,60,0,1
29,21,1,3
0,0,198,141
0,0,263,220
2,1,0,0
8,8,2,0
1,1,250,184
0,1,237,171
0,0,505,258
1,1,301,214
0,1,509,265
0,0,543,279
3,2,1,3
5,4,0,0
0,2,596,371
2,1,1,1
1,0,580,308
1,1,439,261
2,1,1,0
18,8,1,1
3,1,0,0
2,0,219,215
0,2,157,132
0,2,166,167
0,1,214,172
0,0,124,137
0,1,181,140
3,0,521,270
2,0,0,0
2,1,0,1
41,22,0,3
17,6,0,2
2,1,0,0
6,3,0,0
5,0,0,0
77,42,0,1
42,30,0,3
22,10,0,0
6,2,0,0
6,3,0,2
189,87,0,3
165,68,0,0
5,1,0,0
3,1,1,0
64,27,1,0
2,4,0,0
4,6,0,0
2,1,0,0
77,28,0,1
16,5,0,0
21,11,0,2
23,6,0,0
3,2,0,0
0,5,0,0
2,3,0,0
36,18,1,1
286,101,0,5
238,74,1,1
839,309,2,7
7,5,0,0
3,1,0,0
3,3,0,1
9,5,0,0
3,3,0,0
136,57,0,3
5,1,0,0
420,121,1,3
368,100,1,2
52,21,2,2
4,3,0,0
4,1,0,1
19,11,0,0
333,144,1,5
4,2,0,0
64,29,0,2
223,101,1,3
175,89,1,5
241,83,1,1
77,35,0,0
51,27,0,1
0,0,47,72
2,0,0,0
0,1,373,347
257,92,0,3
1341,482,4,6
4,2,0,0
6,1,0,0
122,54,2,1
39,24,0,2
0,1,225,201
2,4,184,152
32,17,1,3
2,5,0,0
60,53,2,1
41,45,1,0
150,97,2,4
2,1,0,0
7,7,0,0
10,6,0,0
18,11,0,0
2,2,0,1
4,6,0,0
10,15,0,0
2,3,0,0
3,2,0,0
5,6,0,1
2,2,0,0
3,1,0,0
9,7,0,1
66,28,0,0
12,16,0,1
8,2,0,0
3,3,0,0
15,4,0,4
3,3,0,0
2,1,0,0
9,1,0,0
15,5,0,0
48,21,0,1
3,1,0,0
3,3,0,0
2,3,0,0
4,1,0,1
20,15,0,0
11,7,0,0
15,6,0,0
5,3,0,1
2,2,0,0
3,1,0,0
2,1,0,0
2,0,0,0
3,3,0,0
4,2,0,0
4,4,0,0
9,10,0,0
10,8,0,1
2,3,0,0
10,7,0,0
2,1,0,0
5,3,0,0
2,0,0,0
6,9,0,0
2,3,0,0
11,7,0,0
16,8,0,1
3,3,0,0
1,10,0,0
0,3,0,0
95,68,0,2
11,11,0,1
27,26,0,0
33,16,0,1
1,4,0,0
10,4,0,0
6,3,0,0
2,6,0,0
5,2,0,1
3,1,0,0
149,72,0,6
3,2,0,0
30,18,0,0
9,4,0,0
6,1,0,0
5,4,0,0
5,5,0,0
5,5,0,0
1,3,0,0
2,1,0,0
6,11,0,0
19,5,0,0
5,3,0,0
2,1,0,0
4,1,0,0
3,0,0,0
2,1,0,0
31,24,1,1
44,22,0,2
2,1,0,0
3,1,0,0
3,0,0,0
0,2,0,0
4,3,0,0
5,6,0,0
5,3,0,1
431,134,0,5
14,6,0,0
118,68,1,1
15,15,0,0
2,4,0,0
3,5,0,0
2,1,0,0
2,2,0,0
171,90,0,2
297,119,2,2
3,1,0,0
89,44,0,0
5,1,0,0
95,51,0,1
2,0,0,0
2,1,0,0
3,2,0,0
50,29,0,0
2,4,0,0
2,0,0,0
524,188,3,2
41,18,0,0
748,309,0,5
6,2,0,0
13,11,0,0
3,1,0,0
3,1,0,0
7,6,0,0
3,0,0,0
37,22,0,0
5,2,0,0
7,8,0,2
2,0,0,0
5,7,0,0
65,51,0,0
2,3,0,0
10,7,0,1
257,131,1,5
2,2,0,0
10,4,0,0
7,3,0,0
7,7,0,1
6,4,0,0
5,6,0,0
5,2,0,0
6,4,0,0
10,14,0,1
0,6,0,0
4,2,0,0
2,2,0,1
350,144,2,3
17,6,0,0
3,1,0,0
1,4,0,0
38,25,0,1
2,0,0,0
2,1,0,1
502,164,2,1
3,4,0,0
111,43,2,1
44,27,0,1
6,4,0,0
2,1,0,0
37,31,0,3
27,13,0,0
196,71,1,2
66,43,0,0
3,4,0,0
3,2,0,0
2,1,0,0
3,4,0,0
203,127,1,3
1,5,0,0
3,2,0,0
4,8,0,1
0,4,0,0
0,4,0,0
3,2,1,0
2,1,0,0
61,42,0,1
4,0,0,0
12,18,0,0
21,16,0,1
7,3,0,0
50,49,0,3
51,39,0,1
2,6,0,0
26,26,0,2
4,3,0,0
166,85,0,0
227,144,0,3
3,1,0,0
4,7,1,0
6,8,1,0
9,11,0,1
3,1,0,0
7,6,0,0
3,3,0,0
0,5,0,2
7,6,0,0
94,45,1,3
3,1,0,0
12,10,0,2
16,19,0,0
41,31,0,0
10,5,0,0
9,1,0,0
4,0,0,0
59,31,0,1
2,0,0,0
2,1,0,1
0,6,59,85
205,71,8,16
2,0,0,1
19,7,0,1
3,1,0,0
5,8,0,0
67,49,1,0
13,9,0,0
3,5,0,1
26,31,0,1
90,58,1,3
538,220,3,4
18,17,1,0
6,5,0,0
7,3,0,0
19,22,0,1
26,21,1,1
2,1,235,196
0,2,292,236
2,0,323,265
0,1,104,144
2,4,0,0
33,31,0,0
5,3,0,0
7,8,0,0
5,1,0,0
2,3,0,0
53,40,3,2
2,2,0,1
339,117,0,4
4,6,0,0
134,68,0,2
8,4,0,0
4,2,0,0
6,4,0,0
2,1,0,0
4,2,0,0
3,8,18,8
4,8,8,9
16,16,0,1
4,2,0,1
3,2,0,1
1,5,0,1
9,8,0,1
5,6,0,0
3,1,0,0
19,31,0,1
3,2,0,0
18,10,0,0
28,15,0,1
0,5,0,0
5,3,0,1
31,38,0,2
9,7,0,0
3,6,0,0
7,19,0,0
10,0,0,0
16,20,0,0
21,21,0,2
20,27,0,1
0,5,0,0
4,9,0,2
3,5,0,0
4,3,0,0
4,2,0,0
3,6,0,1
51,34,0,1
2,2,0,0
67,55,1,2
14,4,0,0
106,65,0,1
0,5,1,0
3,2,0,0
51,33,1,1
15,13,0,1
26,18,0,1
3,2,0,0
31,25,0,2
3,2,0,0
3,1,0,0
26,25,1,1
2,0,0,0
0,5,1,1
0,9,0,1
3,0,0,0
2,2,0,0
9,9,0,0
2,3,0,1
18,13,0,0
5,7,0,1
3,7,0,1
13,7,1,0
2,3,0,0
0,4,0,0
4,8,0,0
2,1,0,0
2,1,0,0
3,2,0,0
3,2,0,0
5,0,0,0
0,3,0,1
3,1,0,0
0,2,0,0
2,0,0,0
2,2,0,0
0,3,0,0
7,12,0,1
1,7,0,0
0,4,0,0
2,0,0,1
3,0,0,1
0,5,0,0
6,8,0,0
2,1,0,0
2,0,0,0
3,0,0,0
5,3,0,1
34,13,0,1
5,2,0,0
6,7,0,0
37,15,0,1
3,0,0,0
2,1,0,0
6,9,0,0
2,0,0,0
3,8,0,0
7,7,0,1
2,3,0,1
4,3,0,0
2,2,0,0
21,25,0,0
13,16,0,0
2,1,0,0
3,2,0,0
4,4,0,0
2,3,0,0
4,4,0,0
10,11,1,2
5,2,0,0
2,3,0,0
4,7,0,0
4,2,0,0
4,4,0,0
42,23,0,0
8,11,0,1
7,5,0,1
15,8,0,1
79,48,0,1
2,0,0,0
2,1,0,1
3,7,0,0
3,0,0,0
5,6,0,0
45,9,0,0
2,4,0,0
20,14,0,0
10,9,0,0
8,9,0,0
3,1,0,0
2,0,0,0
11,4,0,0
4,6,0,0
4,3,0,0
4,1,0,1
2,3,0,0
4,2,0,0
3,4,0,0
4,0,0,0
2,1,0,0
5,2,0,0
6,2,0,0
2,0,0,0
7,8,0,1
5,4,0,0
2,2,0,0
4,3,0,0
7,1,0,0
11,11,0,0
8,8,0,0
10,6,0,0
4,4,0,0
6,3,0,0
2,2,0,0
2,0,0,0
3,4,0,0
3,2,0,1
5,3,0,0
3,1,0,0
2,2,0,0
3,2,0,0
12,4,0,0
4,8,0,0
4,3,0,0
7,1,0,0
30,28,0,1
1,11,0,0
11,20,0,1
5,2,0,0
10,19,0,0
2,2,0,0
0,4,0,0
2,1,0,0
2,1,0,1
2,1,0,1
4,7,0,1
13,10,0,0
0,5,0,0
4,0,0,0
2,0,0,0
2,0,0,0
2,3,0,0
3,2,0,0
8,6,0,0
2,0,0,0
6,14,0,0
12,20,0,0
3,2,0,0
7,5,0,0
5,13,0,0
17,16,0,0
36,24,0,0
0,6,0,0
27,28,0,1
2,3,0,0
5,7,0,0
2,1,0,0
3,2,0,0
26,16,0,1
4,6,0,2
11,12,0,1
47,46,0,2
58,49,0,0
2,1,0,0
12,24,0,1
3,0,0,0
2,1,0,0
2,6,0,0
2,5,0,0
2,2,0,0
5,0,0,0
24,23,0,1
36,31,0,1
7,16,0,2
9,5,0,1
80,68,0,2
42,36,0,1
3,4,0,0
2,0,0,0
0,5,0,1
2,10,0,0
4,4,0,0
10,9,0,0
2,2,0,0
55,37,0,0
29,25,0,2
181,128,1,2
11,5,0,0
4,10,0,0
26,27,0,0
0,1,128,177
2,2,0,1
0,5,0,0
3,3,0,0
2,2,0,0
94,76,2,2
281,108,2,5
0,4,0,0
371,150,0,3
47,23,0,0
159,103,2,3
26,23,0,2
67,56,0,4
5,8,0,1
24,16,0,0
57,34,1,0
2,3,0,0
4,4,0,0
11,3,1,2
4,0,0,0
2,1,0,0
198,73,0,4
130,80,0,2
4,2,0,0
16,23,0,0
3,4,0,0
14,17,1,2
174,104,0,5
0,1,416,192
1,0,143,136
0,1,146,114
117,54,0,1
6,6,0,1
9,5,0,1
5,3,0,0
2,1,0,0
5,4,0,0
1,4,0,0
2,2,1,0
1,1,62,98
8,3,0,0
11,8,1,0
330,139,4,5
22,11,0,8
5,8,0,2
27,37,0,3
2,4,3,1
481,183,0,4
475,170,3,4
11,15,0,3
295,147,1,4
5,3,0,3
2,2,0,2
10,9,0,1
498,218,2,6
8,7,0,0
0,0,371,214
37,16,1,1
3,7,0,1
8,7,0,0
2,0,110,103
3,0,511,370
2,2,711,413
0,0,116,117
0,0,310,186
18,19,1,2
6,1,0,0
14,5,1,0
84,41,0,0
2,0,0,0
3,2,0,1
15,8,0,0
17,12,0,0
14,8,0,0
32,15,0,1
17,12,0,0
17,10,0,1
6,4,0,0
10,7,0,0
4,2,0,0
51,31,0,2
58,15,0,0
13,11,0,1
7,2,0,0
46,40,0,2
8,5,1,0
6,5,0,0
22,10,0,0
33,18,0,0
17,5,1,0
4,2,0,1
9,3,0,0
2,0,0,0
0,3,95,138
32,18,0,0
3,2,1,0
2,1,0,0
4,2,0,0
9,9,0,0
36,9,0,1
20,3,0,1
3,1,0,0
5,5,0,0
26,22,0,0
12,13,0,0
25,32,1,1
33,32,0,0
5,7,1,0
2,2,0,1
7,5,0,0
186,110,0,6
4,0,0,0
1,2,1,1
176,100,4,3
10,9,0,0
8,8,0,0
2,4,0,1
2,2,0,1
5,6,0,1
39,35,0,1
3,1,0,0
2,2,0,0
12,5,0,0
13,11,0,1
13,6,0,2
29,24,0,2
13,4,0,1
140,83,2,3
50,29,0,0
6,3,0,0
3,1,0,0
5,1,1,0
4,5,0,0
4,4,0,0
13,4,0,0
3,2,0,0
4,4,0,0
12,4,0,1
20,9,1,0
4,3,0,0
2,0,0,0
102,57,0,0
3,3,0,0
115,55,0,1
6,5,0,1
6,4,0,2
4,1,1,0
4,4,0,0
10,7,0,0
12,10,0,2
6,2,0,0
3,8,0,0
76,39,0,1
9,7,0,0
2,4,0,0
2,2,0,0
3,2,0,0
2,3,0,0
3,9,0,0
7,7,0,0
3,3,0,0
2,1,0,0
3,5,0,1
2,0,0,0
3,0,0,0
3,0,0,0
2,0,0,0
3,1,0,0
1,4,0,0
25,18,0,1
12,5,0,0
6,2,0,0
11,9,0,0
4,6,0,0
2,4,0,0
6,9,0,0
6,6,0,0
1,5,0,0
6,5,0,0
4,8,0,0
2,1,0,0
6,11,0,0
4,2,0,1
2,2,0,0
14,14,0,2
3,1,0,0
13,10,0,1
83,35,0,2
17,7,0,0
9,5,0,1
5,2,0,0
5,1,0,0
29,13,0,0
87,33,0,0
11,3,0,0
52,44,0,1
4,2,0,0
3,2,0,0
3,0,0,1
0,4,0,0
5,11,1,1
8,5,0,0
9,4,1,1
2,1,0,0
3,2,0,0
6,2,0,0
2,1,0,0
3,2,0,0
11,13,0,0
17,10,0,0
124,67,1,2
3,1,1,0
2,2,0,0
5,3,0,0
6,2,0,0
3,1,0,0
3,2,0,0
10,7,0,1
21,22,0,0
3,2,0,0
21,10,0,0
4,6,0,0
3,0,0,0
31,31,0,3
2,1,0,0
7,16,0,0
2,0,0,1
2,2,0,0
9,8,0,1
5,3,0,0
2,2,0,0
20,16,0,0
60,34,1,0
12,13,0,2
12,7,0,2
12,9,0,1
149,74,1,3
61,43,0,0
17,14,0,1
7,2,0,0
10,4,0,0
3,1,0,0
11,7,0,0
23,10,1,0
12,8,0,1
3,2,0,1
4,4,0,0
2,5,0,0
2,0,0,0
3,2,0,0
4,5,0,0
2,2,0,0
2,2,0,0
3,2,0,0
20,12,0,0
87,53,0,1
2,2,0,0
88,48,0,0
8,7,0,1
2,1,0,0
2,2,0,0
3,9,0,0
3,3,0,2
2,2,0,0
4,0,0,0
101,64,1,1
26,14,0,0
13,9,0,0
3,1,0,0
6,2,0,0
2,1,0,0
2,2,2,2
1,6,0,0
30,20,0,0
23,17,1,1
190,97,0,0
93,43,0,0
2,1,0,0
4,2,0,0
15,14,0,0
3,4,0,0
20,22,0,0
132,52,1,0
426,195,0,7
19,9,0,1
0,4,0,0
2,0,0,0
14,8,0,1
3,0,1,5
2,2,0,0
3,2,0,0
2,1,0,0
2,0,0,0
75,60,0,1
252,72,3,3
78,25,0,2
205,47,1,1
11,2,0,0
69,18,0,2
17,2,0,0
65,29,0,0
2,2,0,0
15,3,1,0
9,6,2,0
4,4,0,0
5,5,0,1
3,2,0,0
0,0,90,136
1,1,73,101
4,5,0,0
3,3,0,2
2,1,0,0
5,7,0,1
3,6,0,1
1,4,0,0
5,1,0,0
6,2,0,0
4,5,0,0
5,6,0,0
25,20,1,2
0,6,0,0
4,6,0,0
3,0,0,0
52,15,0,0
7,7,0,1
3,0,0,0
8,6,0,1
9,1,0,0
17,20,0,1
3,3,0,0
2,1,0,0
34,11,0,0
34,9,0,2
34,13,0,4
71,30,2,2
70,42,0,2
5,3,0,1
3,2,1,1
7,4,0,2
2,1,0,1
3,1,0,0
0,2,0,0
0,0,216,183
6,17,0,1
7,7,0,0
16,11,0,0
30,15,3,4
3,1,0,0
6,3,0,1
3,1,0,0
6,3,0,0
6,2,1,0
4,1,0,0
0,6,0,0
2,1,0,0
5,3,0,0
2,1,0,0
5,2,1,0
6,0,0,0
20,6,0,0
4,1,0,0
4,1,0,0
2,2,0,0
18,11,0,0
2,2,0,0
3,3,0,0
21,11,0,0
2,4,0,0
2,0,0,1
31,31,0,1
17,2,0,0
47,19,0,0
3,1,0,0
69,35,0,2
4,6,0,1
2,4,0,0
3,0,0,1
5,6,0,0
92,25,0,0
30,9,0,2
91,25,0,0
16,4,0,1
55,23,0,1
7,4,0,0
2,7,0,0
31,16,0,0
3,0,0,0
4,3,0,0
0,3,0,0
3,3,0,1
8,2,0,0
3,1,0,0
3,2,0,0
18,10,0,0
35,29,1,1
20,19,0,0
26,15,0,1
14,10,0,0
31,18,0,1
35,19,0,0
33,21,0,0
5,3,0,0
4,2,0,1
35,19,0,1
10,4,0,0
41,25,0,3
20,14,0,1
23,14,0,0
14,4,0,1
71,24,0,0
6,4,0,0
18,5,0,0
12,7,1,0
12,9,0,0
36,17,1,2
8,1,0,1
3,3,0,0
2,2,0,1
5,6,0,0
22,13,0,2
16,6,1,0
20,12,0,0
8,8,0,0
5,3,0,0
70,30,1,1
5,8,0,0
3,2,0,0
2,0,0,0
40,25,0,0
8,5,0,0
5,4,0,0
5,3,0,0
21,15,0,1
29,24,0,0
11,6,0,0
423,103,0,0
176,71,1,1
64,32,0,2
29,20,0,2
2,1,0,1
0,0,35,53
2,2,0,0
2,0,0,1
0,0,147,223
0,1,558,422
2,0,0,0
2,0,0,1
5,2,0,0
3,2,0,1
169,65,0,1
3,1,0,1
9,8,2,0
29,12,1,1
3,1,0,1
10,3,0,1
6,2,0,0
95,63,0,0
64,31,2,2
12,10,0,0
6,5,0,0
41,25,0,0
5,1,0,1
5,1,0,0
74,33,0,1
11,6,0,1
111,47,0,2
57,27,0,0
12,6,0,0
9,12,0,0
18,3,0,1
8,12,0,0
3,0,0,0
6,2,0,0
83,30,0,3
6,4,0,1
92,45,0,1
286,112,1,0
5,2,0,0
61,26,0,2
3,3,0,0
3,0,1,0
209,76,0,1
21,13,0,0
7,1,0,0
20,12,0,0
10,9,0,1
8,10,0,1
5,2,0,0
2,2,0,1
10,6,0,0
18,12,0,0
17,14,0,1
6,11,0,4
17,5,0,0
